Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_02_506.jpg;0;0;1;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_02_521.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_02_581.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_02_646.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_02_713.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_02_781.jpg;4.000198;0;0;0;99.66999;85.58897;0.0002374865;57.54654;-2.186069E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_02_848.jpg;8.018394;0;0;0;99.66999;85.58897;0.0002368818;58.86996;-7.135105E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_02_913.jpg;4.042028;0;0;0;99.66999;85.58897;0.0002374636;59.82923;-9.661096E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_02_980.jpg;0.03146276;0;0;0;99.66999;85.58897;0.0002383437;60.07639;-9.324783E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_047.jpg;0;0;0;0;99.66999;85.58897;0.0002381095;60.07639;-8.448405E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_113.jpg;0;0;0;0;99.66999;85.58897;0.000237834;60.07639;-7.41736E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_182.jpg;0;0;0;0;99.66999;85.58897;0.0002374069;60.07639;-5.819257E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_247.jpg;0;0;0;0;99.66999;85.58897;0.0002370625;60.07639;-4.530461E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_314.jpg;0;0;0;0;99.66999;85.58897;0.0002364844;60.07639;-3.193665E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_404.jpg;0;0;0;0;99.66999;85.58897;0.000235232;60.07639;-9.875926E-07
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_466.jpg;0;0;0;0;99.66999;85.58897;0.000234716;60.07639;-2.969761E-07
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_531.jpg;0;0;0;0;99.66999;85.58897;0.0002338428;60.07639;7.722081E-08
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_599.jpg;0;0;0;0;99.66999;85.58897;0.0002331482;60.07639;6.096308E-07
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_664.jpg;-3.963462;0;0;0;99.66999;85.58897;0.0002331446;59.35541;4.844237E-06
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_733.jpg;-7.950501;0;0;0;99.66999;85.58897;0.0002344993;58.04467;1.063849E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_798.jpg;-12.01828;0;0;0;99.66999;85.58897;0.0002335787;56.11942;1.765185E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_865.jpg;-15;0;0;0;99.66999;85.58897;0.0002321612;52.64496;2.88564E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_932.jpg;-15;0;0;0;99.66999;85.58897;0.0002312632;49.94496;3.590907E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_03_998.jpg;-15;0;0;0;99.66999;85.58897;0.0002303547;47.24496;4.203591E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_04_065.jpg;-15;0;0;0;99.66999;85.58897;0.0002289068;43.64499;4.785172E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_04_132.jpg;-15;0;0;0;99.66999;85.58897;0.0002285207;40.94501;5.101784E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_04_198.jpg;-13.07442;0;0;0;99.66999;85.58897;0.0002284276;38.36058;5.19558E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_04_265.jpg;-9.048548;0;0;0;99.66999;85.58897;0.0002300819;35.94817;4.805697E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_04_331.jpg;-5.058308;0;0;0;99.66999;85.58897;0.0002334741;34.91798;4.098916E-05
C:\Users\tzyhp\Desktop\data\IMG\robocam_2018_03_03_08_28_04_398.jpg;-1.022347;0;0;0;99.66999;85.58897;0.0002373848;34.48961;3.133842E-05
